MDA,Abbreviation,BEEPA_Score_Percent,BEEPA_Tier,Subnational_BEEPA_Points,Rule_Applied,Notes
Nigeria Customs Service,NCS,100,Super MDA,10.0,Super MDA — max BEEPA weight (10%),Source: BEEPA General Report 16 May 2026
Nigerian Ports Authority,NPA,100,Super MDA,10.0,Super MDA — max BEEPA weight (10%),Source: BEEPA General Report 16 May 2026
National Information Technology Development Agency,NITDA,100,Super MDA,10.0,Super MDA — max BEEPA weight (10%),Source: BEEPA General Report 16 May 2026
National Pension Commission,PENCOM,100,Super MDA,10.0,Super MDA — max BEEPA weight (10%),Source: BEEPA General Report 16 May 2026
Nigeria Agricultural Quarantine Service,NAQS,100,Excellent,9.0,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigeria Immigration Service,NIS,100,Excellent,9.0,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigerian Communications Commission,NCC,100,Excellent,9.0,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigeria Civil Aviation Authority,NCAA,100,Excellent,9.0,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Federal Road Safety Corps,FRSC,100,Excellent,9.0,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
National Insurance Commission,NAICOM,100,Excellent,9.0,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Service Compact,SERVICOM,100,Excellent,9.0,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigerian Content Development Management Board,NCDMB,100,Excellent,9.0,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigerian Electricity Management Service Agency,NEMSA,100,Excellent,9.0,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
National Identity Management Commission,NIMC,100,Excellent,9.0,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigerian Airspace Management Agency,NAMA,100,Excellent,9.0,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
National Drug Law Enforcement Agency,NDLEA,100,Excellent,9.0,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Industrial Training Fund,ITF,99,Very Good,8.9,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigerian Upstream Petroleum Regulatory Commission,NUPRC,98,Very Good,8.8,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Galaxy Backbone Limited,GBB,98,Very Good,8.8,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigerian Export-Import Bank,NEXIM,97,Very Good,8.7,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Corporate Affairs Commission,CAC,97,Very Good,8.7,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Federal Airports Authority of Nigeria,FAAN,96,Very Good,8.6,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
EFCC – Special Control Unit for Money Laundering,SCUML,96,Very Good,8.6,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigeria Export Promotion Council,NEPC,96,Very Good,8.6,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
National Environmental Standards and Regulations Enforcement Agency,NESREA,95,Very Good,8.6,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigerian Investment Promotion Commission,NIPC,94,Very Good,8.5,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Rural Electrification Agency,REA,93,Very Good,8.4,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigeria Export Processing Zone Authority,NEPZA,92,Very Good,8.3,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigerian Postal Service,NIPOST,91,Very Good,8.2,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Oil & Gas Free Zone Authority,OGFZA,90,Very Good,8.1,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Securities and Exchange Commission,SEC,88,Very Good,7.9,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigeria Data Protection Commission,NDPC,88,Very Good,7.9,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigerian Electricity Regulatory Commission,NERC,87,Very Good,7.8,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigerian Midstream and Downstream Petroleum Regulatory Authority,NMDPRA,80,Very Good,7.2,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Bank of Industry,BOI,77,Good,6.9,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Joint Revenue Board,JRB,75,Good,6.8,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
National Bureau of Statistics,NBS,72,Good,6.5,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigeria Social Insurance Trust Fund,NSITF,70,Good,6.3,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigerian Shippers Council,NSC,64,Good,5.8,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Federal Competition and Consumer Protection Commission,FCCPC,60,Good,5.4,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Standards Organisation of Nigeria,SON,51,Fair,4.6,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Environmental Health Council of Nigeria,EHCON,50,Fair,4.5,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigeria Broadcasting Commission,NBC,46,Poor,4.1,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
National Agency for Food and Drug Administration and Control,NAFDAC,36,Poor,3.2,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Citizenship and Business Development Department within the Ministry of Interior,CBDD,32,Poor,2.9,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
National Office for Technology Acquisition and Promotion,NOTAP,30,Poor,2.7,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Port Health (Quarantine) Services,PHA,27,Poor,2.4,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigerian Copyright Commission,NiCC,19,Poor,1.7,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Federal Produce Inspection Service,FPIS,14,Poor,1.3,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Advertising Regulatory Council of Nigeria,ARCON,7,Poor,0.6,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Bureau for Public Procurement,BPP,0,Poor,0.0,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
National Inland Waterways Authority,NIWA,0,Poor,0.0,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Nigerian Maritime Administration and Safety Agency,NIMASA,0,Poor,0.0,Normal MDA — BEEPA% × 9 (max 9.0),Source: BEEPA General Report 16 May 2026
Patents & Designs Registry,PDR,,Exempted,N/A,Excluded — programme exemption,Do not score as 0%; Source: BEEPA General Report 16 May 2026
Trade Marks Registry,TMR,,Exempted,N/A,Excluded — programme exemption,Do not score as 0%; Source: BEEPA General Report 16 May 2026
Nigerian Agricultural Insurance Corporation,NAIC,,Exempted,N/A,Excluded — programme exemption,Do not score as 0%; Source: BEEPA General Report 16 May 2026
Nigeria Revenue Service,NRS,,Exempted,N/A,Excluded — programme exemption,Do not score as 0%; Source: BEEPA General Report 16 May 2026
Central Bank of Nigeria,CBN,,Exempted,N/A,Excluded — programme exemption,Do not score as 0%; Source: BEEPA General Report 16 May 2026
